3 · Custom Topology Plan — Key Differentiators,,,,,,,,,
From config-only topologies through anynet and Murali–De Micheli synthesis to custom C++ — and the four differentiators that make the paper novel.,,,,,,,,,
Repo: github.com/Anmol-S314/veritx-research · tracks/t3-topology · NoC Research Programme Track 3,,,,,,,,,
,,,,,,,,,
PROGRESS,Total tasks,Done,In Progress,Blocked,% Complete,,,,
,26,2,1,0,7.7%,,,,
"Legend: fill in the yellow-shaded columns only (Owner, Status, Date Done, Blockers/Notes). Status dropdown: Not Started / In Progress / Done / Blocked / N/A. The first task row (marked EXAMPLE ROW) is a pre-filled example of the expected format. Default owners: Pair B (Sowmith + Shouryadip)",,,,,,,,,
,,,,,,,,,
ID,Phase,Task,How / Command / Detail,Expected Output / Artifact,Owner,Target,Status,Date Done,Blockers / Notes
,"Phase 0 — Baseline Coverage (config-only, no C++)",,,,,,,,
CT-01,Config-only,"Verify shipped baselines run on matrix traffic: mesh4x4, torus4x4, fly4",make run TRACK=t3-topology CMD=timeloop — sweep globs configs/*.cfg automatically,3 baseline curves on real matrix,Sowmith + Abhitha,,Done,2026-07-12,EXAMPLE ROW — shipped configs verified
CT-02,Config-only,"Add fattree16.cfg (k=4, n=2, routing nca)","New file only; runner auto-includes. Keep num_vcs=4, vc_buf_size=8, packet_size=5 for fairness.",fattree16.cfg + sweep results,Sowmith + Abhitha,,Done,,
CT-03,Config-only,Add flattened butterfly flatfly16.cfg (ran_min routing; ugal needs extra VCs),"k,n,c → 16 terminals; document param choice",flatfly16.cfg + results,Sowmith + Abhitha,,In Progress,,
CT-04,Config-only,"Add cmesh16.cfg (k=2, n=2, c=4, x=y=2, xr=yr=2)",Concentrated mesh — 4 terminals per router; interesting area/latency trade,cmesh16.cfg + results,Sowmith + Abhitha,,Not Started,,Done till here 
CT-05,Config-only,"Torus deadlock-safe routing check: use dim_order (torus-aware), NOT plain dor",Wraparound rings need dateline VCs — T2 tie-in; verify no deadlock at high load,Torus config audited,Sowmith + Abhitha,,Not Started,,
