2 · Topology Pareto Analysis — Metrics Infra & Setup,,,,,,,,,
"Infrastructure for the five evaluation axes: latency, bandwidth/saturation, energy (proxy→real), area, and the 2D/3D Pareto + robustness machinery.",,,,,,,,,
Repo: github.com/Anmol-S314/veritx-research · tracks/t3-topology · NoC Research Programme Track 3,,,,,,,,,
,,,,,,,,,
PROGRESS,Total tasks,Done,In Progress,Blocked,% Complete,,,,
,29,0,0,0,0.0%,,,,
"Legend: fill in the yellow-shaded columns only (Owner, Status, Date Done, Blockers/Notes). Status dropdown: Not Started / In Progress / Done / Blocked / N/A. The first task row (marked EXAMPLE ROW) is a pre-filled example of the expected format. Default owners:Manal + Adhitya lead · Pair B (Sowmith + Shouryadip) support",,,,,,,,,
,,,,,,,,,
ID,Phase,Task,How / Command / Detail,Expected Output / Artifact,Owner,Target,Status,Date Done,Blockers / Notes
,Phase 0 — Metric Infrastructure Setup (Week 1–2),,,,,,,,
PA-01,Infra,"Stand up the Python analysis framework: pandas DataFrame of (topology, injection_rate, latency, hops, energy, area)","Extend from results/topology_sweep.json — run_experiments.py already emits one record per (cfg, rate)",analysis.py loading sweep JSON into DataFrame,Manal + Adhitya,,Not Started,2026-07-11,EXAMPLE ROW — loader working on shipped JSON
PA-02,Infra,Result aggregation: parse ALL Booksim runs (incl. historical) into one dataset,Read every results/*.json + CI artifacts; tag with commit hash,aggregate.csv master dataset,Manal + Adhitya,,Not Started,,
PA-03,Infra,Plotting functions: latency-throughput curves with labelled saturation point,Saturation = cliff detection (latency > k× zero-load latency). Reuse dashboard's dotted-line logic.,plot_curves() reusable function,Manal + Adhitya,,Not Started,,
,Metric 1 — Latency (performance),,,,,,Not Started,,
PA-04,Latency,Zero-load latency + average packet latency per topology per rate,From 'Packet latency average' scrape in run_experiments.py — already wired,latency_cycles column populated for all runs,Manal + Adhitya,,Not Started,,
PA-05,Latency,Normalised latency metric (vs mesh baseline) for Pareto x-axis,latency_topo / latency_mesh at matched rate,norm_latency column,Manal + Adhitya,,Not Started,,
,Metric 2 — Bandwidth / Saturation Throughput,,,,,,Not Started,,
PA-06,Bandwidth,"Automated saturation-point detection per (topology, traffic) pair",Sweep RATES fine near the cliff; matrix traffic saturates ~10x earlier than uniform — use low grids,saturation_rate per topology in dataset,Manal + Adhitya,,Not Started,,
PA-07,Bandwidth,Peak link utilisation capture,Enable Booksim link stats / parse channel utilisation output,peak_link_util column,Manal + Adhitya,,Not Started,,
PA-08,Bandwidth,Bisection-bandwidth reference table per topology (analytical),From topology params (mesh/torus/fbfly/fattree formulas) — sanity anchor for sim results,bisection_bw.csv reference table,Manal + Adhitya,,Not Started,,
,Metric 3 — Energy (proxy → simulated → Accelergy-validated),,,,,,Not Started,,
PA-09,Energy,Stage 1 proxy: energy = hops_avg × packet_size (already emitted as hops_avg),Compute total_hops × bytes_per_link for all runs,energy_proxy column for all runs,Manal + Adhitya,,Not Started,,
PA-10,Energy,FIX the all-zero NoC energy graphs: enable Booksim power model,sim_power = 1; tech_file = <techfile> in cfgs; parse 'Total Power' in run_experiments.py (deck assignment — carried over),Non-zero router+link power per run,Manal + Adhitya,,Not Started,,
PA-11,Energy,Stage 2: energy-weighted score = hop count × Accelergy energy-per-hop (Pair A's Wk5 output),Join Pair A energy.json with sweep records,energy_score column,Manal + Adhitya,,Not Started,,
PA-12,Energy,Stage 3: Month-4 re-run of top-3 topologies with real Accelergy energy — does Pareto shift?,Replace proxy in final dataset; document delta vs proxy,Energy-validated Pareto + proxy-vs-real correlation note,Manal + Adhitya,,Not Started,,
PA-13,Energy,"Buffer/VC energy design-space: num_vcs {2,4,8} × vc_buf_size {2,4,8,16}","Find the knee: credit stalls vs wasted power. One knob per experiment, commit each.",Buffer-sizing mini-Pareto chart,Manal + Adhitya,,Not Started,,
,Metric 4 — Area,,,,,,Not Started,,
PA-14,Area,Area overhead model: router port count + link count per topology,Port count ∝ router area. Count from configs/_ComputeSize() per topology.,area_overhead table (all topologies),Manal + Adhitya,,Not Started,,
PA-15,Area,Area-constrained ranking: best latency at ≤10% area overhead vs mesh,Filter dataset by area budget; rank,Area-constrained topology ranking,Manal + Adhitya,,Not Started,,
PA-16,Pareto,"2D Pareto-front computation function (latency vs energy), tested on synthetic data",Non-dominated sort; unit test with known answer,pareto.py + passing test,Manal + Adhitya,,Not Started,,
PA-17,Pareto,"Replot all results on energy axes (x: norm latency, y: energy score)",Week-5 axis update from the plan,Updated 2D Pareto chart,Manal + Adhitya,,Not Started,,
PA-18,Pareto,3D Pareto: latency × energy × area; identify 3D-optimal set,Extend non-dominated sort to 3 objectives; matplotlib 3D or 3-panel projection,3D Pareto front figure + CSV dataset,Manal + Adhitya,,Not Started,,
PA-19,Pareto,Side-by-side Pareto 7B vs 70B — does optimal topology change?,Needs Pair A 70B matrices + Pair B runs,Comparative Pareto figure + finding,Manal + Adhitya,,Not Started,,
PA-20,Pareto,Topology stability metric: % of traffic patterns where same topology wins,Across batch/context/model sweeps,stability_score per topology,Manal + Adhitya,,Not Started,,
PA-21,Pareto,Robustness score across the 20-random-matrix set (top-3 topologies × 20 = 60 runs),Batch-launch script for the 60 runs; robustness % = win share,robustness_score + bar chart,Manal + Adhitya,,Not Started,,
,Dashboard & Reporting Integration,,,,,,Not Started,,
PA-22,Dashboard,Add Pareto panel to generate_dashboard.py (report/t3/index.html),New Plotly panel beside heatmap/curves; keep run-selector compatibility,Pareto panel live in dashboard,Manal + Adhitya,,Not Started,,
PA-23,Dashboard,Use the per-commit regression table as the experiment-review gate,Every Friday sync: screenshot regression Δ% per topology,Weekly regression screenshot posted,all pairs,,Not Started,,
PA-24,Dashboard,"6 paper-quality figures: latency, energy, 3D Pareto, scaling crossover, traffic heatmap, robustness bar","Publication styling: consistent notation, axis labels, captions",6 final figures (PDF/SVG),Manal + Adhitya,,Not Started,,
