1 · Timeloop Traffic-Matrix Goals — Pair A,,,,,,,,,
Every traffic-matrix deliverable: placeholder replacement → LLaMA-2 7B/70B → scaling → sensitivity → energy. Owner pair assigned.,,,,,,,,,
Repo: github.com/Anmol-S314/veritx-research · tracks/t3-topology · NoC Research Programme Track 3,,,,,,,,,
,,,,,,,,,
PROGRESS,Total tasks,Done,In Progress,Blocked,% Complete,,,,
,23,4,1,0,17.4%,,,,
"Legend: fill in the yellow-shaded columns only (Owner, Status, Date Done, Blockers/Notes). Status dropdown: Not Started / In Progress / Done / Blocked / N/A. The first task row (marked EXAMPLE ROW) is a pre-filled example of the expected format. Default owners: Pair A (Adithya + Manal)",,,,,,,,,
,,,,,,,,,
ID,Phase,Task,How / Command / Detail,Expected Output / Artifact,Owner,ETA,Status,Date Done,Blockers / Notes
,Phase 0 — Setup & Baseline (Week 1–2),,,,,,,,
TM-01,Setup,Pull toolchain image and run the shipped Timeloop spine end-to-end,make pull; make run TRACK=t3-topology CMD=timeloop (repo root). Container has Timeloop pre-built — no Docker exercises repo needed.,results/timeloop.stats.txt + traffic_matrix.txt + topology_sweep.json,Pair A (Abhishek + Shourayadip),,Done,2026-07-10,EXAMPLE ROW — pipeline ran green on first pull
TM-02,Setup,Reproduce the shipped 16x16x16 GEMM baseline and read the stats output,"Inspect timeloop/{arch,problem,mapper}.yaml; understand per-level 'Actual scalar reads/fills/updates' lines that parse_levels() consumes",3-sentence written note per student: what each YAML controls,Pair A (Abhishek + Shourayadip),,Done,,
TM-03,Setup,"Read Timeloop paper (Parashar et al., ISPASS 2019, 8 pages)",Answer: what is a loop nest? what does the mapper optimise?,Notes posted to Slack,Pair A (Abhishek + Shourayadip),,Done,,
TM-04,Setup,Understand the placeholder build_traffic_matrix() and its limitations,scripts/timeloop_to_matrix.py — 60% nearest-neighbour + 40% node-0 memory-controller model. Document why it is NOT a real attention model.,Gap analysis note (half page),Pair A (Abhishek + Shourayadip),,Done,,
TM-05,Spatial model,Design tile mapping for attention: where do heads / QK^T / softmax·V land on 16 tiles?,Whiteboard + written mapping spec. Decide head-per-tile vs head-split. This decision defines the whole matrix.,Mapping spec doc reviewed by coordinator,Pair A (Abhishek + Shourayadip),,In Progress,,
TM-06,Spatial model,Replace build_traffic_matrix() with the real attention spatial model,Edit only that function; keep CLI/format identical so the Booksim bridge & dashboard keep working. Commit on branch t3/attention-matrix.,New function merged; CI green,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-07,Spatial model,Define LLaMA-2 7B QKV attention layer in Timeloop YAML,"32 heads, head_dim=128, seq_len=2048, 16 tiles — new problem YAML (keep shipped GEMM as regression baseline)",problem_llama7b_attn.yaml + 16x16 matrix CSV,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-08,Spatial model,Map the FFN layer of LLaMA-2 7B — different traffic pattern than attention,New problem YAML for FFN GEMM shape; extract matrix; compare hotspot tiles vs attention,problem_llama7b_ffn.yaml + attention-vs-FFN comparison table,Pair A (Abhishek + Shourayadip),,Not Started,,
